ExpireTime,RaidId,AllyCode,Name,Score,Rank
12/05/2023 17:34:28 +00:00,speederbike,336698836,Jonesmalones,9105000,6
12/05/2023 17:34:28 +00:00,speederbike,443495965,Verage Valoor,7513500,10
12/05/2023 17:34:28 +00:00,speederbike,454629175,Delara Exibil,10483000,2
12/05/2023 17:34:28 +00:00,speederbike,814134474,RoTahn Taske,6832000,16
12/05/2023 17:34:28 +00:00,speederbike,334861731,JediAhsoka,3556000,43
12/05/2023 17:34:28 +00:00,speederbike,793549187,Dârth Jungle Asian,6961500,15
12/05/2023 17:34:28 +00:00,speederbike,452238138,Yosh,4006250,41
12/05/2023 17:34:28 +00:00,speederbike,255925733,Fidget92,217000,50
12/05/2023 17:34:28 +00:00,speederbike,214224828,JakeY,5229500,29
12/05/2023 17:34:28 +00:00,speederbike,389689423,ArtVandalay,10308000,4
12/05/2023 17:34:28 +00:00,speederbike,749275383,Dava,4815000,32
12/05/2023 17:34:28 +00:00,speederbike,197788324,Skaar,12730500,1
12/05/2023 17:34:28 +00:00,speederbike,133674987,Tani Mayse,4245250,37
12/05/2023 17:34:28 +00:00,speederbike,825371335,Nomad,7110500,13
12/05/2023 17:34:28 +00:00,speederbike,312478199,Taco Hat,3106500,46
12/05/2023 17:34:28 +00:00,speederbike,768488681,Tranced,9001500,7
12/05/2023 17:34:28 +00:00,speederbike,299292257,G4reth,5142000,30
12/05/2023 17:34:28 +00:00,speederbike,175993797,El Jefe,5399500,26
12/05/2023 17:34:28 +00:00,speederbike,381676275,Marl Jewel,6799000,17
12/05/2023 17:34:28 +00:00,speederbike,132898449,Jay Maop,4455500,36
12/05/2023 17:34:28 +00:00,speederbike,685711659,MINI DarthAzazel,5921000,21
12/05/2023 17:34:28 +00:00,speederbike,938743519,Chikiller,6751000,18
12/05/2023 17:34:28 +00:00,speederbike,858966128,T,7173750,12
12/05/2023 17:34:28 +00:00,speederbike,625367959,Blattu,7459000,11
12/05/2023 17:34:28 +00:00,speederbike,754294299,Darthsyn,2700000,47
12/05/2023 17:34:28 +00:00,speederbike,256121811,JHang,3156000,45
12/05/2023 17:34:28 +00:00,speederbike,371731743,Trask droll,1876500,48
12/05/2023 17:34:28 +00:00,speederbike,678195521,XCAL,10446000,3
12/05/2023 17:34:28 +00:00,speederbike,312333279,Excessive Fist,3992250,42
12/05/2023 17:34:28 +00:00,speederbike,475136137,WharfRat,6093000,19
12/05/2023 17:34:28 +00:00,speederbike,471792187,Geralt of Rivia,1586500,49
12/05/2023 17:34:28 +00:00,speederbike,492564869,OwningXylophone,9417500,5
